TIMESTAMP,ROOM_ID,PERCENT_CLEANED
09/13/2023 20:08:05,Dining Room,100
09/13/2023 19:02:55,Kitchen,98
09/11/2023 20:21:19,Dining Room,80
09/11/2023 19:09:10,Kitchen,79
09/09/2023 13:59:58,Living Room,98
09/09/2023 12:46:42,Main Bathroom,99
09/09/2023 10:20:52,Main Bedroom,100
09/08/2023 20:14:52,Dining Room,77
09/08/2023 19:12:16,Kitchen,81
09/06/2023 20:19:39,Dining Room,78
09/06/2023 19:23:09,Kitchen,83
09/04/2023 20:29:12,Dining Room,76
09/04/2023 19:31:31,Kitchen,88
09/02/2023 13:06:45,Living Room,93
09/02/2023 10:45:21,Main Bathroom,90
09/02/2023 08:18:39,Main Bedroom,95
09/01/2023 20:00:00,Dining Room,84
09/01/2023 19:00:00,Kitchen,90
08/30/2023 11:55:33,ThisRoomDoesNotExist,90
